40,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
41,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
41,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
42,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
42,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
43,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
43,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
44,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
44,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
45,29/09/2025,taschenrechner-texas,Taschenrechner Texas,Google Shopping / Google Product Category,,Business & Industrial > Office Equipment > Calculators,Mapped via google_taxonomy_map,info,4
46,29/09/2025,taschenrechner-texas,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
46,29/09/2025,taschenrechner-texas,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
47,29/09/2025,sax-design-locher-schwarz,Sax Design Locher schwarz,Google Shopping / Google Product Category,,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories > Woodwind Instrument Accessories > Saxophone Accessories,Mapped via google_taxonomy_map,info,4
48,29/09/2025,locher-novus-16-bl-schwarz,Locher Novus 16 Bl. schwarz,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Paper Handling > Hole Punches,Mapped via google_taxonomy_map,info,4
49,29/09/2025,schultuten,Schultüten,Google Shopping / Google Product Category,,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors,Mapped via google_taxonomy_map,info,4
50,29/09/2025,schultuten,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
50,29/09/2025,schultuten,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
51,29/09/2025,woll-hakelnadel-3-5-mm,Woll Häkelnadel,Google Shopping / Google Product Category,,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Tools > Needles & Hooks > Crochet Hooks,Mapped via google_taxonomy_map,info,4
52,29/09/2025,woll-hakelnadel-3-5-mm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
52,29/09/2025,woll-hakelnadel-3-5-mm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
53,29/09/2025,faber-ohp-f-wf,Faber-Castell Multimark Folienstift permanent,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Writing & Drawing Instruments > Markers & Highlighters > Markers,Mapped via google_taxonomy_map,info,4
54,29/09/2025,faber-ohp-f-wf,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
54,29/09/2025,faber-ohp-f-wf,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
55,29/09/2025,faber-ohp-f-wf,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
55,29/09/2025,faber-ohp-f-wf,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
56,29/09/2025,farbregister-karton-10tlg-a4,"Farbregister Karton 10tlg, A4",Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Filing & Organization > Binding Supplies > Binder Accessories > Index Dividers,Mapped via google_taxonomy_map,info,4
57,29/09/2025,farbregister-karton-10tlg-a4,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
